FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WATER_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATPV_TOTAL,HCPV_GAS,HCPV_TOTAL,REGION,ZONE
1,10656981.0,0.0,10656981.0,59957809.0,0.0,1960884420.0,1960884420.0,78802733.0,17000359.0,61802374.0,0.0,17000359.0,Westlands,Valyzar
2,0.0,0.0,0.0,77110073.0,0.0,0.0,0.0,79481140.0,0.0,79481140.0,0.0,0.0,Eastlands,Valyzar
